,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
2,LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
3,LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
4,LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
6,LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
7,LP001014,Male,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,N
8,LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
9,LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
10,LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
12,LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
13,LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
14,LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
15,LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
17,LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
18,LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
20,LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
21,LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
22,LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
25,LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
26,LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
27,LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
28,LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
31,LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
32,LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
33,LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
34,LP001100,Male,No,3,Graduate,No,12500,3000,320,360,1,Rural,N
37,LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
38,LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
39,LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
